# Title : Trajectory directory file of the Argo global Data Assembly Center
# Description : The directory file describes all trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20080326002327
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,date_update
aoml/1900646/1900646_traj.nc,-18.985,-22.368,-21.95,-28.64,852,AO,20080320102208
aoml/1900647/1900647_traj.nc,-53.661,-61.836,35.635,1.229,851,AO,20080324102202
aoml/1900685/1900685_traj.nc,-36.795,-45.753,44.907,11.433,851,AO,20080319102347
aoml/1900686/1900686_traj.nc,-36.592,-46.967,69.994,14.1253,851,AO,20080319102345
aoml/1900687/1900687_traj.nc,-31.084,-36.833,-2.686,-19,851,AO,20080323102407
aoml/1900688/1900688_traj.nc,-25.085,-33.992,12.466,-0.429,852,AO,20080320102211
aoml/1900689/1900689_traj.nc,-28.288,-33.95,3.074,-7.416,851,AO,20080321102129
aoml/1900690/1900690_traj.nc,-29.872,-34.271,-11.77,-14.735,852,AO,20080323102410
aoml/1900691/1900691_traj.nc,-22.469,-28.736,83.261,74.848,851,AO,20080324102300
aoml/1900692/1900692_traj.nc,-22.48,-28.099,71.976,67.353,851,AO,20080325102139
aoml/1900694/1900694_traj.nc,-21.935,-31.289,59.33,45.828,851,AO,20080325102140
aoml/1900697/1900697_traj.nc,-28.966,-33.439,71.574,54.292,851,AO,20080320102151
aoml/1900698/1900698_traj.nc,-28.815,-35.032,76.752,72.148,851,AO,20080321102119
aoml/1900699/1900699_traj.nc,-32.896,-39.096,73.9,65.182,851,AO,20080320102154
aoml/1900700/1900700_traj.nc,-37.021,-44.901,72.932,54.3,851,AO,20080321102121
aoml/1900701/1900701_traj.nc,-37.195,-44.607,93.409,74.999,851,AO,20080321102122
aoml/1900702/1900702_traj.nc,27.135,24.624,-19.612,-25.969,852,AO,20080320102219
aoml/1900703/1900703_traj.nc,22.429,-19.9833,-21.9667,-32.411,852,AO,20080320102221
aoml/1900704/1900704_traj.nc,10.668,9.006,-24.537,-29.292,852,AO,20080322102253
aoml/1900705/1900705_traj.nc,6.83,4.652,-27.9,-36.096,851,AO,20080322102255
aoml/1900706/1900706_traj.nc,4.95,-8.068,-17,-68.798,852,AO,20080320102216
aoml/1900707/1900707_traj.nc,17.0738,14.472,-33.9887,-48.389,852,AO,20080325102057
aoml/1900708/1900708_traj.nc,18.092,15.341,-32.5017,-43.843,851,AO,20080325102101
aoml/1900710/1900710_traj.nc,13.282,10.995,-23.005,-29.883,852,AO,20080320102213
aoml/1900711/1900711_traj.nc,8.986,6.695,-15.41,-22.9975,852,AO,20080322102250
aoml/1900712/1900712_traj.nc,3.016,-1.871,-22.9998,-43.976,852,AO,20080320102322
aoml/1900713/1900713_traj.nc,5.965,2.76,-21.926,-28.735,852,AO,20080321102134
aoml/1900714/1900714_traj.nc,34.149,32.342,-14.762,-20.6667,852,AO,20080324102224
aoml/1900715/1900715_traj.nc,32.318,29.509,-30.078,-33.684,852,AO,20080325102102
aoml/1900716/1900716_traj.nc,19.612,16.51,-17.156,-24.824,851,AO,20080320102218
aoml/1900717/1900717_traj.nc,-27.069,-35.054,12.41,3.963,851,AO,20080320102303
aoml/1900718/1900718_traj.nc,-25.508,-33.98,8.481,3.704,851,AO,20080321102219
aoml/1900719/1900719_traj.nc,-29.92,-34.0283,-0.947,-8.301,851,AO,20080322102325
aoml/1900720/1900720_traj.nc,-34.3567,-38.915,-12.547,-17,851,AO,20080323102514
aoml/1900721/1900721_traj.nc,-34.307,-38.295,-24.038,-27.811,851,AO,20080324102331
aoml/1900722/1900722_traj.nc,-36.813,-40.472,79.206,73.07,846,AO,20080325102030
aoml/1900723/1900723_traj.nc,-37.231,-44.268,89.761,73.35,846,AO,20080323102436
aoml/1900724/1900724_traj.nc,-44.299,-46.073,-159.787,-162.106,846,AO,20080322102437
aoml/1900725/1900725_traj.nc,-32.068,-33.636,-109.834,-111.999,846,AO,20080319102700
aoml/1900726/1900726_traj.nc,-26.82,-27.351,-94.9995,-97.346,846,AO,20080324102513
aoml/1900728/1900728_traj.nc,-36.2498,-36.932,-160.001,-161.018,846,AO,20080319102701
aoml/1900729/1900729_traj.nc,-43.452,-44.235,-96.997,-97.836,846,AO,20080324102514
aoml/1900730/1900730_traj.nc,-28.213,-28.755,-93.419,-94.966,846,AO,20080324102515
aoml/1900731/1900731_traj.nc,-43.287,-46.918,-169.68,-172.037,846,AO,20080320102430
aoml/1900732/1900732_traj.nc,-7.31,-9.582,-11.514,-16.744,851,AO,20080321102207
aoml/1900733/1900733_traj.nc,3.345,-3.24,-18.1356,-46.336,851,AO,20080323102506
aoml/1900737/1900737_traj.nc,14.621,12.361,-26.065,-32.646,851,AO,20080319102551
aoml/1900738/1900738_traj.nc,11.625,10.026,-27.583,-31.211,851,AO,20080319102549
aoml/1900740/1900740_traj.nc,-23.544,-29.191,11.195,6.468,851,AO,20080322102353
aoml/1900741/1900741_traj.nc,-19.211,-22.471,4.382,-1.043,851,AO,20080323102534
aoml/1900744/1900744_traj.nc,-32.731,-40.695,17.017,4.592,851,AO,20080324102353
aoml/1900745/1900745_traj.nc,-37.381,-41.5135,12.093,6.705,851,AO,20080325102233
aoml/1900749/1900749_traj.nc,36.903,33.761,-11.68,-15.308,851,AO,20080324102350
aoml/1900750/1900750_traj.nc,34.6662,30.803,-14.477,-18.1602,851,AO,20080325102228
aoml/1900752/1900752_traj.nc,2.747,1.206,4.586,0.671,851,AO,20080324102346
aoml/1900753/1900753_traj.nc,2.279,-0.373,7.153,2.222,851,AO,20080324102347
aoml/1900754/1900754_traj.nc,-1.865,-5.245,5.163,0.278,851,AO,20080325102223
aoml/1900758/1900758_traj.nc,-25.418,-27.695,-13.444,-17.153,851,AO,20080323102537
aoml/1900759/1900759_traj.nc,-25.2,-29.256,-9.036,-16.468,851,AO,20080323102539
aoml/1900760/1900760_traj.nc,-31.526,-36.157,13.995,3,851,AO,20080325101832
aoml/1900762/1900762_traj.nc,32.989,30.024,-20.994,-23.445,851,AO,20080319102606
aoml/1900763/1900763_traj.nc,29.664,26.477,-17.841,-21.56,851,AO,20080319102631
aoml/1900764/1900764_traj.nc,22.726,19.348,-21.2333,-24.58,851,AO,20080320102409
aoml/1900765/1900765_traj.nc,18.172,16.231,-22.672,-28.362,851,AO,20080320102408
aoml/1900766/1900766_traj.nc,15.051,11.524,-24.48,-27.513,851,AO,20080322102422
